customer_type,Factor,Sub_Factor,Effect
حقیقی مصرفی,خرید های مصرفی,حمل ونقل,6
حقیقی مصرفی,خرید های مصرفی,دیجیکالا,2
حقیقی مصرفی,خرید های مصرفی,رستوران و فست فود,5
حقیقی مصرفی,خرید های مصرفی,خرید شارژ/پرداخت قبوض,3
حقیقی مصرفی,خرید های مصرفی,سایر خریدهای مصرفی,8
حقیقی مصرفی,خرید های سرمایه ای,صرافی و رمزارز,6
حقیقی مصرفی,خرید های سرمایه ای,خریدهای بالاتر از 1م,5
حقیقی مصرفی,خروجی های منظم,کارت به کارت سایر,7
حقیقی مصرفی,ورودی های منظم,واریزهای داخلی,6
حقیقی مصرفی,ورودی های منظم,کارت به کارت مشخص,5
حقیقی مصرفی,ورودی های منظم,واریز حقوق,2
حقیقی مصرفی,ورودی های نامنظم,کارت به کارت,3
حقیقی مصرفی,ارتباط با بانک,استفاده از موبایلت,5
حقیقی کسب وکار,خروجی های منظم,برداشت داخلی,6
حقیقی کسب وکار,داشتن تسهیلات,تسهیلات فعال,9
حقیقی کسب وکار,خروجی های منظم,تراکنشهای ساتنا و پایا,11
حقیقی کسب وکار,ورودی های منظم,تسویه شاپرک,4
حقیقی کسب وکار,ارتباط با بانک,مراجعه به شعبه,5.4
حقیقی کسب وکار,ارتباط با بانک,کاربرخاص,5
حقیقی کسب وکار,ارتباط با بانک,نزدیکی به شعبه,3
حقیقی کسب وکار,دسته چک,تعداد برگهای دسته چک,4
حقیقی کسب وکار,دسته چک,تعداد برگهای باقی مانده,2
حقیقی کسب وکار,دسته چک,داشتن دسته چک,6
حقیقی کسب وکار,خریدهای سرمایه ای,خرید از بنکداری,1
حقیقی کسب وکار,ورودی های منظم,ساتنا و پایا,1
حقیقی کسب وکار,ارتباط با بانک,استفاده از پین پد,2
حقیقی کسب وکار,ورودی های منظم,کارت به کارت,3
حقوقی,ورودی های منظم,واریز های داخلی,5
حقوقی,دسته چک,چکهای وارده,8
حقوقی,ورودی های منظم,ساتنا و پایا,9
حقوقی,تسهیلات,تسهیلات فعال,7
حقوقی,تسهیلات,ضمانت نامه های فعال,2
حقوقی,خروجی های منظم,صرافی و رمزارز,1
حقوقی,ارتباط با بانک,کاربرخاص,6
حقوقی,ارتباط با بانک,مراجعه به شعبه,3
حقوقی,ارتباط با بانک,اصلاح سند,3
حقوقی,ارتباط با بانک,حقیقی مرتبط,5
حقوقی,خدمات سپرده ای,سپرده پشتیبان,3
حقوقی,خروجی های منظم,ساتنا و پایا,6
حقوقی,خروجی های منظم,خرید از بنکداری,6
حقوقی,ارتباط با بانک,تعداد سپرده های فعال,7
